Record Number,Year,County,District,District Code,Population,Avg. Household Income,Avg. Property Valuation / ADM,Unemployment %,Poverty %,Single-Parent Family %,Student/Offender,Offense/Offender,NCNT in Gang,H.S. Diploma w/o College Degree,Less than 12th Grade,College Degree or Above,Free Reduced Lunch %
4400,2016,HASKELL,KEOTA,31I043,2815,48385.19231,16360.2278,0.044044044,0.201287093,0.298969072,211.5,3.5,0,0.09164859,0.662147505,0.246203905,0.8392
4401,2016,HUGHES,MOSS,32I001,1052,63782.21024,65451.2336,0.041564792,0.084210526,0.085365854,,0,0,0.138482024,0.712383489,0.149134487,0.6036
4402,2016,HUGHES,WETUMKA,32I005,2448,44977.28365,25453.1068,0.099497487,0.205434335,0.309012876,58.75,2,0,0.134169279,0.661442006,0.204388715,0.8213
4403,2016,HUGHES,HOLDENVILLE,32I035,7307,45457.09024,37255.8462,0.067116927,0.195900178,0.43083004,140.25,1.25,0,0.100057285,0.652854688,0.247088027,0.7897
4404,2016,HUGHES,CALVIN,32I048,1234,48652.94118,186527.7134,0.064935065,0.165584416,0.317307692,,0,0,0.197571744,0.663355408,0.139072848,0.82
4405,2016,HUGHES,STUART,32I054,1040,62551.15681,88918.4833,0.03902439,0.146435453,0.28440367,141,1,0,0.112426036,0.74556213,0.142011834,0.7518
4406,2016,JACKSON,NAVAJO,33I001,2210,77065.58442,22591.4073,0.031339031,0.11040724,0.154109589,483,1,0,0.357979502,0.562225476,0.079795022,0.4017
4407,2016,JACKSON,DUKE,33I014,566,59270.43478,54974.7576,0.034482759,0.113074205,0.216666667,,0,0,0.252659574,0.67287234,0.074468085,0.3333
4408,2016,JACKSON,ALTUS,33I018,20418,52345.97573,30131.4289,0.08828601,0.175053918,0.361495845,131.4444444,1.962962963,2,0.182210243,0.618790913,0.198998845,0.6207
4409,2016,JACKSON,ELDORADO,33I025,588,50451.83824,99920.8264,0.113744076,0.253401361,0.402777778,,0,0,0.192893401,0.677664975,0.129441624,0.8108
4410,2016,JACKSON,OLUSTEE,33I035,667,52626.41509,29203.4057,0.030927835,0.223903177,0.204545455,,0,0,0.156424581,0.734636872,0.108938547,0.8113
4411,2016,JACKSON,BLAIR,33I054,1752,67619.03448,23551.2718,0.02673147,0.15995397,0.366459627,300,3,0,0.176218991,0.727117194,0.096663815,0.6
4412,2016,JEFFERSON,TERRAL,34C003,504,43418.59296,47486.5929,0.066371681,0.277108434,0.347826087,,0,0,0.083094556,0.727793696,0.189111748,1.0147
4413,2016,JEFFERSON,RYAN,34I001,1098,43770.51887,29498.7249,0.112709832,0.143796992,0.348623853,,0,0,0.112137203,0.672823219,0.215039578,0.7024
4414,2016,JEFFERSON,RINGLING,34I014,2048,47556.51613,32460.4511,0.0628707,0.233938205,0.281818182,106.25,4.25,0,0.125095347,0.711670481,0.163234172,0.7082
4415,2016,JEFFERSON,WAURIKA,34I023,2692,49291.67446,35780.833,0.050293378,0.213618677,0.522633745,68,1.5,0,0.120589784,0.743022643,0.136387572,0.7206
4416,2016,JOHNSTON,MANNSVILLE,35C007,1130,51709.84043,72305.7532,0.058951965,0.185283688,0.31147541,,0,0,0.105834464,0.708276798,0.185888738,0.898
4417,2016,JOHNSTON,RAVIA,35C010,1144,57281.28079,76454.2565,0.019927536,0.15323993,0.223300971,87,1,0,0.15601023,0.625319693,0.218670077,1
4418,2016,JOHNSTON,MILL CREEK,35I002,827,63346.15385,112563.6162,0.041666667,0.117791411,0.309859155,,0,0,0.183739837,0.634146341,0.182113821,0.7778
4419,2016,JOHNSTON,TISHOMINGO,35I020,4805,46330.94512,30707.3255,0.078170237,0.2345162,0.546067416,243.25,2.5,0,0.147674056,0.680299719,0.172026225,0.6824
4420,2016,JOHNSTON,MILBURN,35I029,1437,54495.35354,54860.4822,0.07781457,0.141562064,0.313333333,69.66666667,1,0,0.191402252,0.646878199,0.16171955,0.7895
4421,2016,JOHNSTON,COLEMAN,35I035,1077,59877.46479,61454.9663,0.076115486,0.181058496,0.228571429,29.83333333,1.833333333,0,0.202185792,0.640710383,0.157103825,0.7374
4422,2016,JOHNSTON,WAPANUCKA,35I037,1177,57796.20853,55580.8813,0.081237911,0.180118946,0.462264151,131.5,1.5,0,0.185696361,0.597239649,0.21706399,0.6426
4423,2016,KAY,PECKHAM,36C027,330,77694.02985,374949.995,0.028571429,0.054878049,0.272727273,104,4,0,0.120967742,0.774193548,0.10483871,0.8654
4424,2016,KAY,KILDARE,36C050,1235,74637.96909,215321.2881,0.07079646,0.093268451,0.184466019,,0,0,0.194029851,0.711825488,0.094144661,0.6923
4425,2016,KAY,BLACKWELL,36I045,7748,53030.67692,30479.6993,0.064987815,0.211184211,0.44765343,113.3333333,2.583333333,0,0.138888889,0.695007508,0.166103604,0.7
