19C008105,LONE STAR ELEMENTARY,44261.3369
19C012105,GYPSY ELEMENTARY,42676.3415
19C034105,PRETTY WATER ELEMENTARY,43371.599
19C035105,ALLEN-BOWDEN ELEMENTARY,40419.0411
19I002110,EDISON ELEMENTARY,44287.3384
19I002115,COLLINS ELEMENTARY,43532.1549
19I002505,BRISTOW MIDDLE SCHOOL,45165.3025
19I002705,BRISTOW HIGH SCHOOL,43888.8156
19I003105,MANNFORD LOWER ELEMENTARY,39962.8859
19I003110,MANNFORD UPPER ELEMENTARY,42145.7644
19I003115,MANNFORD EC CTR,41688
19I003500,MANNFORD MIDDLE SCHOOL,40814.3159
19I003705,MANNFORD HIGH SCHOOL,42804.7039
19I005105,MOUNDS ELEMENTARY,40615.2443
19I005705,MOUNDS HIGH SCHOOL,42401.3147
19I017105,OLIVE ELEMENTARY,41495.5138
19I017715,OLIVE HIGH SCHOOL,44783.7293
19I018105,KIEFER ELEMENTARY,39696.6292
19I018505,RONGEY MIDDLE SCHOOL,39783.7539
19I018705,KIEFER HIGH SCHOOL,43589.4246
19I020105,J. F. KENNEDY ELEMENTARY,39221.0227
19I020715,OILTON HIGH SCHOOL,40632.3265
19I021105,DEPEW ELEMENTARY,43148.1994
19I021705,DEPEW HIGH SCHOOL,46946.4661
19I031105,KELLYVILLE ELEMENTARY,42742.042
19I031110,KELLYVILLE UPPER ELEMENTARY,44699.7932
19I031505,KELLYVILLE MIDDLE SCHOOL,43275.525
19I031705,KELLYVILLE HIGH SCHOOL,45134.1475
19I033125,LIBERTY ELEMENTARY,44136.7151
19I033150,FREEDOM ELEMENTARY,44364.9135
19I033160,JEFFERSON HEIGHTS ELEMENTARY,42366.1764
19I033165,HOLMES PARK ELEMENTARY,44166.3539
19I033505,SAPULPA MIDDLE SCHOOL,44297.9318
19I033610,SAPULPA JR HIGH SCHOOL,48655.5778
19I033705,SAPULPA HIGH SCHOOL,46299.6619
19I039115,BRADLEY ELEMENTARY,43957.6489
19I039505,VIRGIL COOPER MIDDLE SCHOOL,43877.3761
19I039705,DRUMRIGHT HIGH SCHOOL,45726.7226
20I005105,ARAPAHO-BUTLER ELEMENTARY,43751.6165
20I005715,ARAPAHO-BUTLER HIGH SCHOOL,45649.3633
20I007105,THOMAS ELEMENTARY,46224.6111
20I007615,THOMAS-FAY-CUSTER JR HIGH SCHOOL,47197.9389
20I007715,THOMAS-FAY-CUSTER HIGH SCHOOL,55570.0059
20I026105,WEATHERFORD EAST ELEMENTARY,43850.9048
20I026115,WEATHERFORD WEST ELEMENTARY,43521.5556
20I026120,BURCHAM ELEMENTARY,43397.5532
20I026510,WEATHERFORD MIDDLE SCHOOL,44694.4316
20I026705,WEATHERFORD HIGH SCHOOL,46541.4844
20I099110,NANCE ELEMENTARY,43326.4273
20I099115,SOUTHWEST ELEMENTARY,41217.3807
20I099120,WASHINGTON ELEMENTARY,42392.0837
20I099505,CLINTON MIDDLE SCHOOL,43409.2392
20I099705,CLINTON HIGH SCHOOL,48290.3595
21C006105,CLEORA ELEMENTARY,47487.4737
21C014105,LEACH ELEMENTARY,39357.1041
21C030105,KENWOOD ELEMENTARY,42506.3333
21C034105,MOSELEY ELEMENTARY,44722.0741
21I001105,JAY ELEMENTARY,43872.5574
21I001305,JAY UPPER ELEMENTARY,47098.6379
21I001505,JAY MIDDLE SCHOOL,44812.3564
21I001705,JAY HIGH SCHOOL,47127.5009
21I002105,GROVE UPPER ELEMENTARY,47942.3333
21I002110,GROVE LOWER ELEMENTARY,48147.9376
21I002505,GROVE MIDDLE SCHOOL,47737.2796
21I002705,GROVE HIGH SCHOOL,48687.1827
21I003105,KANSAS ELEMENTARY,43165.3192
21I003505,KANSAS MIDDLE SCHOOL,41658.0386
21I003715,KANSAS HIGH SCHOOL,43603.0376
21I004105,COLCORD ELEMENTARY,43369.216
21I004715,COLCORD HIGH SCHOOL,44803.7634
