Year,SchoolCode,DistrictCode,Site,AvgIncome,AvgPropValADM,Unemployment,PovertyRate,SingleParentFam,FRL,College,HighSchool,BelowHS,FallEnrollment,NonSpEdTeachers,AvgTeacherSalary,AdvancedDegrees,AvgYrsExperience,SpEdTeachersFTE,CounselorsFTE,OtherStaffFTE,AdministratorsFTE
2014,68C035105,68C035,MARBLE CITY ELEMENTARY,35903,27927,0.13,0.35,0.17,0.82,0.1,0.61,0.29,120,10.5,46817.32,0.143,14.19,0.97,0.29,0.65,0.5
2015,68C035105,68C035,MARBLE CITY ELEMENTARY,36889.07,27925.84,0.12,0.37,0.24,0.822,0.11,0.63,0.26,129,8.44,43806.14,0.138,13.85,0.37,0.29,0.22,0.5
2016,68C035105,68C035,MARBLE CITY ELEMENTARY,42682.42,26258.1,0.13,0.36,0.24,0.83,0.1,0.64,0.25,135,9.17,43941,0.128,15.75,0.66,0.16,0.17,0.5
2014,43I016105,43I016,MARIETTA ELEMENTARY,49097,25518,0.06,0.2,0.41,0.79,0.15,0.65,0.2,533,28.5,39820.46,0.158,8.37,2,1,1.33,2
2015,43I016105,43I016,MARIETTA ELEMENTARY,51749.93,27913.87,0.05,0.17,0.31,0.751,0.15,0.64,0.21,534,29.86,41134.31,0.223,10.13,1,1,1.33,2
2016,43I016105,43I016,MARIETTA ELEMENTARY,53311.59,27980.69,0.05,0.16,0.32,0.815,0.13,0.7,0.17,535,30.86,41373.92,0.125,11.17,2,1,1.33,2
2014,43I016705,43I016,MARIETTA HIGH SCHOOL,49097,25518,0.06,0.2,0.41,0.65,0.15,0.65,0.2,306,15.86,43234.19,0.126,15.14,1,1,0.34,1.25
2015,43I016705,43I016,MARIETTA HIGH SCHOOL,51749.93,27913.87,0.05,0.17,0.31,0.627,0.15,0.64,0.21,292,16.36,43501.13,0.114,16.06,1,1,0.33,1
2016,43I016705,43I016,MARIETTA HIGH SCHOOL,53311.59,27980.69,0.05,0.16,0.32,0.702,0.13,0.7,0.17,322,16.78,43380.78,0.166,16.67,1,1,0.33,1
2014,43I016500,43I016,MARIETTA MIDDLE SCHOOL,49097,25518,0.06,0.2,0.41,0.7,0.15,0.65,0.2,212,11.64,41444.29,0.301,9.91,1,1,0.33,1
2015,43I016500,43I016,MARIETTA MIDDLE SCHOOL,51749.93,27913.87,0.05,0.17,0.31,0.696,0.15,0.64,0.21,227,10.93,40085.45,0.288,9.61,1,1,1.19,1
2016,43I016500,43I016,MARIETTA MIDDLE SCHOOL,53311.59,27980.69,0.05,0.16,0.32,0.741,0.13,0.7,0.17,212,10.93,41872.47,0.307,8.46,1,1,1.05,1
2014,69I001135,69I001,MARK TWAIN ELEMENTARY,54094,44570,0.08,0.16,0.3,0.8,0.2,0.65,0.15,195,11.71,43395.39,0.256,10.7,3.5,0.5,0.83,1
2014,55I089320,55I089,MARK TWAIN ELEMENTARY,51403,48041,0.09,0.27,0.47,0.96,0.21,0.56,0.23,308,17,48252.65,0.177,11.73,2.23,0.2,1.6,1
